Wind_[m/s],Pitch_[deg],Rotor_Speed_[rpm],Torque_[MNm],Flapwise_Moment_[MNm],CP_[-],CT_[-],CQ_[-],CFlap_[-],TSR_[-],Aero_Power_[MW],Aero_CP_[-],Tip_Speed_[m/s],R_ref_[m],Power_[MW],Thrust_[MN]
7.534510799,-0.95492474,4.637795327,15.15037894,58.87339124,0.43031659294143815,0.8569866770619974,0.04930249878645023,0.1915863168610824,9.099439253559021,7.358066226052961,0.4486250929999999,68.55982332078494,141.16579982068615,7.057781739,1.865516702
7.541241633,-0.95492474,4.641938427,15.17745972,58.97862543,0.43032883063765165,0.8569866768646963,0.04930249876944021,0.19158631690217062,9.099439253876257,7.377803477751779,0.4486250929999999,68.62107013828609,141.16579982068615,7.076914762,1.868851249
7.58833327,-0.95492474,4.670925229,15.36760427,59.71751483,0.4304128444624299,0.8569866767804982,0.04930249875898541,0.19158631684337143,9.099439253532497,7.516881471894372,0.448625093,69.04957762592461,141.16579982068615,7.211728426,1.892264382
7.675676842,-0.95492474,4.724688721,15.72341003,61.10015296,0.4305601360581135,0.8569866768793865,0.04930249877081077,0.19158631686505415,9.099439253788635,7.779444006294043,0.44862509299999986,69.84435515549119,141.16579982068615,7.466186181,1.936075932
7.803070431,-0.95492474,4.803104614,16.24966567,63.14514827,0.4307625620850775,0.8569866769360244,0.0493024987888351,0.19158631687112665,9.099439254003082,8.173255850991657,0.4486250929999999,71.00356538159215,141.16579982068615,7.847828144,2.000875544
7.970219531,-0.95492474,4.905991628,16.95328815,65.87937965,0.4309950520079621,0.8569866768546544,0.04930249879118203,0.19158631687375333,9.099439254773532,8.709823704010045,0.4486250930000001,72.5245284695441,141.16579982068615,8.367545594,2.087514927
8.176737731,-0.95492474,5.03311191,17.84323158,69.33764218,0.4312180175430642,0.8569866768921705,0.04930249878067398,0.19158631684554187,9.099439253447235,9.404565104292455,0.44862509299999986,74.40372827460448,141.16579982068615,9.039659135,2.197096631
8.422147605,-0.95492474,5.184171587,18.93036872,73.5621867,0.4313897238256226,0.8569866768881451,0.04930249877687132,0.1915863168565229,9.099439253639911,10.27701662027234,0.448625093,76.63682051688636,141.16579982068615,9.882192126,2.330959454
8.70588182,-0.95492474,5.358821442,20.22734635,78.60215777,0.4315417980668018,0.8569866770020537,0.04930249877198989,0.1915863168542215,9.099439254111507,11.351070358810194,0.4486250929999999,79.21864277456373,141.16579982068615,10.91883042,2.490660637
9.027284445,-0.95492474,5.556657723,21.74841593,84.51293565,0.43164836062747997,0.8569866769678117,0.04930249876746632,0.1915863168669446,9.099439254812976,12.6552256864021,0.44862509300000003,82.14322644319557,141.16579982068615,12.17633054,2.677955009
9.385612468,-0.95492474,5.777223075,23.50924124,91.35538875,0.4316406652358336,0.8569866768857093,0.04930249877572339,0.19158631688798003,9.099439253913594,14.222841426000064,0.448625093,85.40381051334005,141.16579982068615,13.68438108,2.894771303
9.780037514,1.076074385,6.020007602,26.34164647,89.50124593,0.4452561049787109,0.7748312789251304,0.05087652385620554,0.17286361651325294,9.099439254966775,16.606135380165295,0.462947838,88.99285726993926,141.16579982068615,15.97152541,2.841862999
